query_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
math500:test:6,0.0029890586229648387,0.0,0.0,0.0007660502298617958,0.0032499345351445267,0.034109103811230786,0.0,0.0004723567350170782,0.0005552429596094303,0.001883405236965491,0.0012415029781277205,0.944232201421136,0.0,0.009888559896283308,0.0,0.0006125835736589678
math500:test:7,0.019179238069580117,0.0,0.0,0.00043399577419579336,0.002239494495065467,0.000529056121234726,0.0,0.00019234341900858546,0.0002326657955827938,0.00027359161072781175,0.0013611928424067416,0.9741729105949768,0.0,0.0011089864316110012,0.0,0.0002765248456102887
math500:test:8,0.2592976474376516,0.0,0.0,0.0012441387278349129,0.5977695417478796,0.0019472643595482815,0.0,0.0007792993170386646,0.00134120236965002,0.015842960619346223,0.002011666565653277,0.11446565813758983,0.0,0.0038675174801302012,0.0,0.0014331032376771408
math500:test:9,0.014030211785163008,0.0,0.0,0.0008346693537421021,0.0027150814766827265,0.004660918774286447,0.0,0.00027032738690518975,0.0005013094338128784,0.966623045366286,0.0012744881620523852,0.008048994573433662,0.0,0.0004923438501658039,0.0,0.0005486098374698986
math500:test:13,0.04848658437103151,0.0,0.0,0.0010020589408914265,0.00212082270794032,0.00459656628614231,0.0,0.000983052953115118,0.0008333857473382546,0.008584605072559441,0.0017324776879752205,0.9239051231391159,0.0,0.007032830556102626,0.0,0.0007224925377879233
math500:test:16,0.13075189673111345,0.0,0.0,0.0057425154358867496,0.0067536579270917356,0.595158161089295,0.0,0.014334286557090509,0.007466728975310384,0.05640556858519642,0.03593781476439409,0.13919654611291496,0.0,0.00432834903631783,0.0,0.003924474785389077
math500:test:24,0.5697818106911712,0.0,0.0,0.0006002132563806281,0.00902851656877824,0.000670977783368875,0.0,0.0003224987505004324,0.0005422710647219746,0.001096777577520359,0.0005587513352014905,0.4156542823114132,0.0,0.0012055343732883953,0.0,0.000538366287655348
math500:test:43,0.00531877351566769,0.0,0.0,0.0010968210949419547,0.0017580236320811822,0.0011577776325564022,0.0,0.0003267485243717984,0.0005339807774785651,0.023694704116646603,0.0026362414735995672,0.9609054437076505,0.0,0.001920041770154923,0.0,0.0006514437548508132
math500:test:46,8.809640628961909e-05,0.0,0.0,0.00014806323699520087,0.000832447886618141,0.0005794559769352025,0.0,6.0797504680898297e-05,0.00011436741484241638,0.000503906040215217,0.011610050991863947,0.9857878731100003,0.0,0.00013513878778208388,0.0,0.00013980264377702468
math500:test:50,0.00014706178271155942,0.0,0.0,0.00013244363997549867,0.00014876158964903885,0.00022886296090010686,0.0,6.386078552123137e-05,7.463275259028438e-05,0.001336757686121316,0.00024248945589901646,0.9970927483577943,0.0,0.0004458149255495815,0.0,8.656606328807947e-05
