view,min_leaf,state_label,gemini-3.5-flash,gpt-5.5,qwen3-14b-awq-local,qwen3-32b-awq-local,qwen3-4b-local,qwen3-8b-local,train_state_count,selected_model,mean_state_variance
probe_only,5,z00,0.8833935754661464,0.7990380468844174,0.1724137931034483,0.29310344827586204,0.5344827586206896,0.4482758620689655,58,gemini-3.5-flash,0.17249315843850788
probe_only,5,z01,0.9385147361508842,0.8700836263915226,0.8625,0.9,0.95,0.75,80,qwen3-4b-local,0.08394442775423984
probe_only,5,z02,-0.022040495240122283,-0.11235435773899352,0.1875,0.0,0.125,0.0,16,qwen3-14b-awq-local,0.09912898615444014
probe_only,5,z03,0.17880401252679531,0.5359764859841701,0.7868852459016393,0.8688524590163934,0.0,0.3114754098360656,61,qwen3-32b-awq-local,0.15362565916915658
probe_only,5,z04,0.05582233000059808,0.7134207714602001,0.8863636363636364,0.9318181818181818,0.9318181818181818,0.6136363636363636,44,qwen3-32b-awq-local,0.10505764446242476
probe_only,5,z05,0.0931944959788025,0.7370767954254185,0.8823529411764706,0.7058823529411765,0.47058823529411764,0.4117647058823529,17,qwen3-14b-awq-local,0.17310544936294206
probe_only,5,z06,0.2406514006744161,0.07840667391479378,0.13793103448275862,0.13793103448275862,0.10344827586206896,0.0603448275862069,116,gemini-3.5-flash,0.16672545134882719
probe_only,5,z07,0.06953424790062306,-0.2820072591359983,0.41,0.41,0.06,0.13,100,qwen3-14b-awq-local,0.16879080849875894
probe_only,10,z00,0.8833935754661464,0.7990380468844174,0.1724137931034483,0.29310344827586204,0.5344827586206896,0.4482758620689655,58,gemini-3.5-flash,0.17249315843850788
probe_only,10,z01,0.9385147361508842,0.8700836263915226,0.8625,0.9,0.95,0.75,80,qwen3-4b-local,0.08394442775423984
probe_only,10,z02,-0.022040495240122283,-0.11235435773899352,0.1875,0.0,0.125,0.0,16,qwen3-14b-awq-local,0.09912898615444014
probe_only,10,z03,0.17880401252679531,0.5359764859841701,0.7868852459016393,0.8688524590163934,0.0,0.3114754098360656,61,qwen3-32b-awq-local,0.15362565916915658
probe_only,10,z04,0.05582233000059808,0.7134207714602001,0.8863636363636364,0.9318181818181818,0.9318181818181818,0.6136363636363636,44,qwen3-32b-awq-local,0.10505764446242476
