query_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
math500:test:6,0.0029802528428954033,0.0,0.0,0.0008028116720972387,0.0034485654813989747,0.03560706451545418,0.0,0.0004788998385536726,0.0005690364815136251,0.001974581674272305,0.0012851672905682071,0.9419104747329067,0.0,0.010304298901019492,0.0,0.0006388465693202753
math500:test:7,0.021347078186479417,0.0,0.0,0.00040942296600375935,0.002350294615241453,0.0005657813130274426,0.0,0.00019777863723035127,0.00023847711922496322,0.0002990106233777314,0.0013976814205935448,0.9717682821074796,0.0,0.0011404707835985478,0.0,0.0002857222277432248
math500:test:8,0.2717815660572554,0.0,0.0,0.0012223759762595343,0.5924025455632803,0.001967966123137659,0.0,0.0007791730981275691,0.0013350277843290031,0.01674300181636075,0.002003438742367372,0.10652106142048988,0.0,0.0038148542928429234,0.0,0.001428989125549494
math500:test:9,0.01432315234514201,0.0,0.0,0.000804648280254617,0.0027018755130574054,0.004621230580127019,0.0,0.0002652044714365182,0.000490437284966921,0.9667920504355918,0.0012428709199745758,0.007744009985645607,0.0,0.00047794459378669153,0.0,0.0005365755900168401
math500:test:13,0.04696247514300198,0.0,0.0,0.0013965751403122134,0.002311511887856937,0.004844030617190745,0.0,0.0010733129311780718,0.0009219724749467494,0.008741139243315686,0.0018959976131049127,0.9232530504673592,0.0,0.007801182677984902,0.0,0.000798751803748673
math500:test:16,0.1371714912309144,0.0,0.0,0.006093535470736742,0.006701289859170138,0.5965480533377608,0.0,0.014540817592547387,0.007561580427232984,0.057178203982097865,0.035440295912761946,0.13052657935983566,0.0,0.00433427890009864,0.0,0.0039038739268433906
math500:test:24,0.6368331275610063,0.0,0.0,0.0006522622339526088,0.008398888906352238,0.0006675291469789252,0.0,0.00034221106326438985,0.0005563397082620808,0.0011270236740658082,0.0005341501994908865,0.3491866388723778,0.0,0.0011805365182748267,0.0,0.0005212921159742727
math500:test:43,0.0062345185017238245,0.0,0.0,0.0009798575095238554,0.001813615077311955,0.0012273269757022568,0.0,0.00033720007234601564,0.000544306447326464,0.027464010541713397,0.002668124556826363,0.9561452976814927,0.0,0.0019227513047931546,0.0,0.0006629913312400505
math500:test:46,8.972887267831548e-05,0.0,0.0,0.00013172103299116292,0.0008331887968333291,0.0005834284676719184,0.0,5.906814337955421e-05,0.00011099540714370554,0.0005180300607514886,0.011442884259651799,0.9859613316011033,0.0,0.00013208629698037858,0.0,0.00013753706081491666
math500:test:50,0.00015001532997615817,0.0,0.0,0.0001242111176790229,0.0001507668505673145,0.00023550056186083147,0.0,6.415789295857616e-05,7.453438826426766e-05,0.0014273567219791376,0.00024409291510648506,0.9969968189005239,0.0,0.0004457296046842776,0.0,8.681571640012068e-05
